ID,模块,课名称,框名称,知识点,教材原文
1,必修四《哲学与文化》,第一课《时代精神的精华》,第一框《追求智慧的学问》,哲学产生,①哲学智慧产生于人类的实践活动 ②哲学起源于人们在生活实践中对宇宙、人生的追问和思考
2,必修四《哲学与文化》,第一课《时代精神的精华》,第一框《追求智慧的学问》,哲学与世界观关系,每个人都要接触周围的事物，都会通过实践活动获得对事物的 认识，这种认识积累多了，就会形成对世界的一定看法。人们对整 个世界的总的看法和根本观点就是世界观。哲学就是关于世界观的 学问。 世界观人人都有，但一般人自发形成的世界观不等于哲学。哲 学是哲学家依据一定的自然知识、社会知识和思维知识，把不自觉 的、不系统的世界观加以系统化、理论化而形成的思想体系。它同 人们在日常生活中产生的零散的、不自觉的世界观既有联系，又有 区别。我们既反对把哲学简单化，把零散的、不自觉的世界观当作 哲学学说，也反对把哲学神秘化，认为哲学与普通人无关。
3,必修四《哲学与文化》,第一课《时代精神的精华》,第一框《追求智慧的学问》,世界观与方法论关系,哲学既是世界观，也是方法论。人们关于世界是什么、怎么样 的根本观点是世界观，用这种观点作指导去认识世界和改造世界， 就成了方法论。一般说来，世界观决定方法论，方法论体现世界观， 有什么样的世界观就有什么样的方法论。不存在脱离世界观的方法 论，也不存在脱离方法论的世界观。哲学是世界观和方法论的统一。
4,必修四《哲学与文化》,第一课《时代精神的精华》,第一框《追求智慧的学问》,哲学与具体科学关系,"人类在实践中逐渐形成了各种各样的具体知识，这些知识大致 可以概括为三类：一类是认识和改造自然的知识，即自然科学知 识，如物理学、化学、生物学等；一类是认识和改造社会的知识， 即社会科学知识，如经济学、政治学、法学等；还有一类是关于人 的认识和思维的知识，即思维科学知识，如心理学、逻辑学等。具 体科学揭示的是自然、社会和思维某一具体领域的规律，哲学则对 其进行概括和升华，从中抽象出最一般的本质和最普遍的规律。具体科学的进步推动哲学的发展。哲学之所以富有生机和活
力，能够存在和发展，就在于它从不断发展的具体科学知识中概
括出最一般的结论。离开具体科学知识，哲学就会干涸和枯萎。
那种把哲学看作凌驾于一切具体科学之上的“科学之科学”，认为
哲学可以取代具体科学的看法是错误的。
哲学为具体科学研究提供世界观和方法论的指导。科学家的
研究活动都是自觉或不自觉地在某种世界观和方法论的指导下进
行的。缺乏正确的世界观和方法论的指导，科学家就可能在自己
的研究活动中偏离正确方向，走弯路，甚至失败。因此，任何轻
视哲学、否认哲学对具体科学研究指导作用的看法，都是错误的、
有害的。"
5,必修四《哲学与文化》,第一课《时代精神的精华》,第二框《哲学的基本问题》,哲学的基本问题,哲学的基本问题是思维和存在的关系问题，也就是意识和物质 的关系问题。它包括两个方面的内容：一是思维和存在何者是本原 的问题；二是思维和存在有没有同一性的问题，即思维能否正确认 识存在的问题。
6,必修四《哲学与文化》,第一课《时代精神的精华》,第二框《哲学的基本问题》,唯物主义和唯心主义,唯物主义和唯心主义的分歧，是围绕物质和意识谁是本原的问 题展开的。唯物主义认为，物质是本原的，意识是派生的，先有物 质后有意识，物质决定意识；唯心主义认为，意识是本原的，物质 依赖于意识，不是物质决定意识，而是意识决定物质。唯物主义在其历史发展中形成了三种基本形态：古代朴素唯物主义、近代形而上学唯物主义、辩证唯物主义和历史唯物主义。唯心主义在其历史发展中形成了两种基本形态：主观唯心主义和客观唯心主义。
7,必修四《哲学与文化》,第一课《时代精神的精华》,第三框《科学的世界观和方法论》,马克思主义哲学产生的历史条件,"马克思主义哲学是无产阶级反对资产阶级、争取自 由解放斗争的必然产物，也是近代以来自然科学和社会 科学发展的必然结果，是人类认识史上一次最为壮丽的 日出，是人类认识发展结出的丰美硕果。马克思主义哲学的直接理论来源是德国古典哲学，其中主要是黑格尔的辩证法和费尔巴哈的唯物主义。马克思主义哲学的产生有其自然科学前提。19 世纪，自然科学已经由“主要是搜集材料的
科学”发展为“本质上是整理材料的科学”。地质学、胚胎学、植物和动物生理学以及有机化学
等一大批揭示自然界联系和发展的学科，纷纷建立和发展起来。其中，最具有代表性的是细胞学
说、能量守恒和转化定律、生物进化论。这三大发现和自然科学的其他巨大进步，使人们用联系
和发展的眼光看待周围世界成为可能。马克思主义哲学的产生有其社会科学前提。近代社会科学研究了资本主义社会的经济、政
治、文化等社会现象及其规律，获得了一系列的重要发现。尤其是英国古典政治经济学、英法空
想社会主义学说等取得的积极成果，构成了马克思主义哲学产生的社会科学前提。"
8,必修四《哲学与文化》,第一课《时代精神的精华》,第三框《科学的世界观和方法论》,马克思主义重要性,马克思主义是科学的理论、人民的理论。它创造性地揭示了人 类社会发展规律，第一次站在人民的立场探求人类自由解放的道 路，为最终建立一个没有压迫、没有剥削、人人平等、人人自由的 理想社会指明了方向。马克思主义哲学的历史使命就是实现无产阶 级和全人类的解放。自从有了马克思主义哲学，以无产阶级为代表 的劳动群众就有了自己的精神武器，哲学的发展也进入了一个崭新 的时代。
9,必修四《哲学与文化》,第一课《时代精神的精华》,第三框《科学的世界观和方法论》,马克思主义哲学基本特征,"实践观点是马克思主义哲学的核心观点。马克思主义哲学在科 学实践观的基础上，坚持从实际出发认识周围世界，第一次在科学 的基础上实现了唯物主义与辩证法的有机结合，它把唯物辩证的观 点贯穿于社会历史研究领域，实现了唯物辩证的自然观与历史观的 统一。马克思主义哲学实现了实践基础上的科学性和革命性的统一。
马克思主义哲学之所以是科学的，就在于它正确揭示了世界的本质
和运动规律，它的全部理论都来自实践，又经过实践的反复检验。
马克思主义哲学之所以是革命的，就在于它是改变世界的科学、指
导人类解放的科学，是无产阶级的科学的世界观和方法论。
与时俱进是马克思主义哲学独特的理论品质。一部马克思主义
哲学发展史就是马克思、恩格斯以及他们的后继者们不断根据时
代、实践、认识发展而发展的历史，是不断吸收人类历史上一切优
秀思想文化成果丰富自己的历史。马克思主义哲学虽然产生于 19
世纪，但它依然具有强大的现实生命力，依然闪耀着光辉灿烂的真
理光芒，散发出永恒的思想魅力。"
10,必修四《哲学与文化》,,,,
11,必修四《哲学与文化》,,,,
12,必修四《哲学与文化》,,,,
13,必修四《哲学与文化》,,,,
14,必修四《哲学与文化》,,,,
15,必修四《哲学与文化》,,,,
16,必修四《哲学与文化》,,,,
17,必修四《哲学与文化》,,,,
